Year,Sheltered/Unsheltered,Gender,Race/Ethnicity,Age,Sexual Orientation,Health/Disability,Domestic Violence,Units,Value
2018,,,American Indian/ Alaska Native,,,,,Total by Race/ Ethnicity,324
2018,,,Asian,,,,,Total by Race/ Ethnicity,352
2018,,,Black/ African American,,,,,Total by Race/ Ethnicity,12235
2018,,,Hispanic/ Latino,,,,,Total by Race/ Ethnicity,10813
2018,,,Native Hawaiian/ Other Pacific Islander,,,,,Total by Race/ Ethnicity,77
2018,,,White,,,,,Total by Race/ Ethnicity,6978
2018,,,Multi-Racial/Other,,,,,Total by Race/ Ethnicity,506
2018,,,,,,,,Total by Age Group,31285
2018,,,,under 18,,,,Total by Age Group,3022
2018,,,,18-24,,,,Total by Age Group,2052
2018,,,,25-54,,,,Total by Age Group,18446
2018,,,,55-61,,,,Total by Age Group,4755
2018,,,,62 and over,,,,Total by Age Group,3010
2018,,,,,,,,Total by Health/ Disability,31285
2018,,,,,,substance use disorder,,Total by Health/ Disability,4738
2018,,,,,,HIV/AIDS,,Total by Health/ Disability,588
2018,,,,,,serious mental illness,,Total by Health/ Disability,7843
2018,,,,,,developmental disability,,Total by Health/ Disability,1764
2018,,,,,,physical disability,,Total by Health/ Disability,4391
2018,,,,,,,,Total by DV/IPV,31285
2018,,,,,,,Domestic/Intimate Partner Violence Experience,Total by DV/IPV,9088
2018,,,,,,,Homeless Due to Fleeing Domestic/Intimate Partner,Total by DV/IPV,1913
2017,,,,,,,,Percent of Total Population,0.83
2017,,,,,,,,Total by Sheltered/Unsheltered,33138
2017,sheltered,,,,,,,Total by Sheltered/Unsheltered,8952
2017,unsheltered,,,,,,,Total by Sheltered/Unsheltered,24186
2017,,,,,,,,Total by Gender,33138
2017,,male,,,,,,Total by Gender,22297
2017,,female,,,,,,Total by Gender,10387
2017,,transgender,,,,,,Total by Gender,363
2017,,gender non-conforming,,,,,,Total by Gender,90
2017,,,,,,,,Total by Race/ Ethnicity,33138
2017,,,American Indian/ Alaska Native,,,,,Total by Race/ Ethnicity,319
2017,,,Asian,,,,,Total by Race/ Ethnicity,283
2017,,,Black/ African American,,,,,Total by Race/ Ethnicity,15607
2017,,,Hispanic/ Latino,,,,,Total by Race/ Ethnicity,10177
2017,,,Native Hawaiian/ Other Pacific Islander,,,,,Total by Race/ Ethnicity,97
2017,,,White,,,,,Total by Race/ Ethnicity,6029
2017,,,Multi-Racial/Other,,,,,Total by Race/ Ethnicity,624
2017,,,,,,,,Total by Age Group,33138
2017,,,,under 18,,,,Total by Age Group,2753
2017,,,,18-24,,,,Total by Age Group,2182
2017,,,,25-54,,,,Total by Age Group,20384
2017,,,,55-61,,,,Total by Age Group,5409
2017,,,,62 and over,,,,Total by Age Group,2409
2017,,,,,,,,Total by Health/ Disability,33138
2017,,,,,,substance use disorder,,Total by Health/ Disability,6194
2017,,,,,,HIV/AIDS,,Total by Health/ Disability,914
2017,,,,,,serious mental illness,,Total by Health/ Disability,10327
2017,,,,,,developmental disability,,Total by Health/ Disability,2062
2017,,,,,,physical disability,,Total by Health/ Disability,5953
2017,,,,,,,,Total by DV/IPV,33138
2017,,,,,,,Domestic/Intimate Partner Violence Experience,Total by DV/IPV,10923
2016,,,,,,,,Percent of Total Population,0.72
2016,,,,,,,,Total by Sheltered/Unsheltered,28464
2016,sheltered,,,,,,,Total by Sheltered/Unsheltered,7126
2016,unsheltered,,,,,,,Total by Sheltered/Unsheltered,21338
2016,,,,,,,,Total by Gender,28464
2016,,male,,,,,,Total by Gender,18870
2016,,female,,,,,,Total by Gender,9271
2016,,transgender,,,,,,Total by Gender,323
2016,,gender non-conforming,,,,,,Total by Gender,
2016,,,,,,,,Total by Race/ Ethnicity,28464
2016,,,American Indian/ Alaska Native,,,,,Total by Race/ Ethnicity,505
2016,,,Asian,,,,,Total by Race/ Ethnicity,346
2016,,,Black/ African American,,,,,Total by Race/ Ethnicity,12164
2016,,,Hispanic/ Latino,,,,,Total by Race/ Ethnicity,7369
2016,,,Native Hawaiian/ Other Pacific Islander,,,,,Total by Race/ Ethnicity,157
2016,,,White,,,,,Total by Race/ Ethnicity,6849
2016,,,Multi-Racial/Other,,,,,Total by Race/ Ethnicity,1074
2016,,,,,,,,Total by Age Group,28464
2016,,,,under 18,,,,Total by Age Group,2128
2016,,,,18-24,,,,Total by Age Group,2180
2016,,,,25-54,,,,Total by Age Group,16621
2016,,,,55-61,,,,Total by Age Group,4815
2016,,,,62 and over,,,,Total by Age Group,2720
2016,,,,,,,,Total by Health/ Disability,28464
2016,,,,,,substance use disorder,,Total by Health/ Disability,6538
2016,,,,,,HIV/AIDS,,Total by Health/ Disability,483
2016,,,,,,serious mental illness,,Total by Health/ Disability,8899
2016,,,,,,developmental disability,,Total by Health/ Disability,5308
2016,,,,,,physical disability,,Total by Health/ Disability,
2016,,,,,,,,Total by DV/IPV,28464
2016,,,,,,,Domestic/Intimate Partner Violence Experience,Total by DV/IPV,4938
2016,,,,,,,Homeless Due to Fleeing Domestic/Intimate Partner,Total by DV/IPV,
