Year,Age,Gender,Race,Education Attainment,Employment Status,Units,Value
2017,,Female,,,,Percent by Gender,7.9
2017,,,,,,Percent by Race,7.1
2017,,,White,,,Percent by Race,6.3
2017,,,Black or African American,,,Percent by Race,10.9
2017,,,American Indian and Alaska Native,,,Percent by Race,6.4
2017,,,Asian,,,Percent by Race,7
2017,,,Native Hawaiian and Other Pacific Islander,,,Percent by Race,4.6
2017,,,Hispanic or Latino origin (any race),,,Percent by Race,7.5
2017,,,,,,Percent by Education,7.1
2017,,,,Less than High School,,Percent by Education,9.1
2017,,,,High School Graduate,,Percent by Education,6.7
2017,,,,Bachelor's Degree or Higher,,Percent by Education,3.7
2017,,,,,,Percentage by Employment,7.1
2017,,,,,Employed (full-time),Percentage by Employment,0.6
2017,,,,,Unemployed,Percentage by Employment,21.4
2018,,,,,,Percent by Age,6.8
2018,Under 18 years,,,,,Percent by Age,8.2
2018,18 to 64 years,,,,,Percent by Age,6.9
2018,65 years and over,,,,,Percent by Age,4.5
2018,,,,,,Percent by Gender,6.8
2018,,Male,,,,Percent by Gender,6
2018,,Female,,,,Percent by Gender,7.6
2018,,,,,,Percent by Race,6.8
2018,,,White,,,Percent by Race,6.6
2018,,,Black or African American,,,Percent by Race,12.2
2018,,,American Indian and Alaska Native,,,Percent by Race,6.5
2018,,,Asian,,,Percent by Race,6.3
2018,,,Native Hawaiian and Other Pacific Islander,,,Percent by Race,11.7
2018,,,Hispanic or Latino origin (any race),,,Percent by Race,6.6
2018,,,,,,Percent by Education,6.8
2018,,,,Less than High School,,Percent by Education,8.3
2018,,,,High School Graduate,,Percent by Education,6.9
2018,,,,Bachelor's Degree or Higher,,Percent by Education,3.5
2018,,,,,,Percentage by Employment,6.8
2018,,,,,Employed (full-time),Percentage by Employment,0.5
2018,,,,,Unemployed,Percentage by Employment,20.1
